# GENERATED by regenerate-expected.sh from CalendarVectors.java against the real contract classes. contracts 0.2.0-land-c, jackson 2.18.2.
# name	verdict	hash (OK) or exception: message (REJECT)
j18-lead-float-truncates	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j19-schemaversion-int-overflow	REJECT	JsonMappingException: Numeric value (3000000000) out of range of int (-2147483648 - 2147483647)
j20-version-as-float	OK	eed19d22d914b748c45ff583ba3062bfe4eb2d86cdc35c435db5fae0993dddcc
j21-null-lead-hash-for-zero	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
j22-bool-version-hash-for-true	OK	5cb8dc03f7ebcb85b480114e5ef9958155416ef29fd9f1e5fc8b017b4d1c7a80
j23-eventcode-number-hash-for-42	OK	3a3cac6d884789c4ffabd400ca6130e1005b8783001ccec3eade8bf13f58933c
j24-schemaversion-negative-zero	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j25-nan-literal	REJECT	JsonParseException: Non-standard token 'NaN': enable `JsonReadFeature.ALLOW_NON_NUMERIC_NUMBERS` to allow
j26-leading-whitespace	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
j27-entries-null-element	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries must not contain null
j28-date-array-two-parts	REJECT	MismatchedInputException: Unexpected token (FIELD_NAME), expected END_ARRAY: Expected array to end
j29-schemaversion-null	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: schemaVersion must be 1, got 0
j30-entry-string-not-object	REJECT	MismatchedInputException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry` (although at least one Creator exists): no String-argument co…
j31-version-as-float-trailing-zero	OK	21403f82eb5ab1c6679ba0b6fb61323a83dbee5a09c05de2c31a2686f52158e3
j32-version-as-float-hash-of-reformatted	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash eed19d22d914b748c45ff583ba3062bfe4eb2d86cdc35…
j33-instant-exponent-form	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
m01-nested-object-for-version	REJECT	MismatchedInputException: Cannot deserialize value of type `java.lang.String` from Object value (token `JsonToken.START_OBJECT`)
m02-entries-object-not-array-after-seen	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
m03-control-char-in-eventcode-escaped	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode must match [A-Za-z0-9_.:-]+ and be at mos…
m04-surrogate-pair-eventcode	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode must match [A-Za-z0-9_.:-]+ and be at mos…
m05-lone-surrogate-eventcode	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: unpaired high surrogate at index 0
m06-hash-as-number	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is bounded and calendarContentHash is 64 lowercas…
m07-instant-string-leading-zeros	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
m08-lead-negative-zero-float	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
m09-lead-fraction-below-one	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
m10-lead-negative-fraction	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
m11-long-overflow-float	REJECT	JsonMappingException: Numeric value (1e19) out of range of long (-9223372036854775808 - 9223372036854775807)
m12-entries-as-null-then-list	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries must be present (empty, not null)
m13-two-top-level-objects	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
m14-schemaversion-huge-float	REJECT	JsonMappingException: Numeric value (1e40) out of range of int (-2147483648 - 2147483647)
m15-lead-string-1e5	REJECT	InvalidFormatException: Cannot deserialize value of type `long` from String "6e5": not a valid `long` value
n01-schemaversion-true	REJECT	MismatchedInputException: Cannot deserialize value of type `int` from Boolean value (token `JsonToken.VALUE_TRUE`)
n02-hashversion-true	REJECT	MismatchedInputException: Cannot deserialize value of type `int` from Boolean value (token `JsonToken.VALUE_TRUE`)
n03-schemaversion-2	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: schemaVersion must be 1, got 2
n04-unknown-top-field	REJECT	UnrecognizedPropertyException: Unrecognized field "note" (class com.optionsedge.contracts.volpremium.CalendarArtifact), not marked as ignorable (7 known properties: "entries", "validFromDate"…
n05-missing-entries	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries must be present (empty, not null)
n06-null-entries	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries must be present (empty, not null)
n07-unsorted	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries are not sorted by (instant, eventCode) at CPI@17679654000…
n08-duplicate	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: duplicate calendar entry CPI at 1767965400000
n09-lead-over-max	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: leadWindowMs 3600001 outside [0, 3600000] for CPI
n10-instant-zero	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: instantUtcMs 0 for CPI is outside the supported dom…
n11-hash-mismatch	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash 000000000000000000000000000000000000000000000…
n12-through-before-from	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: validThroughDate 2025-12-31 is before validFromDate 2026-01-01
n13-noncanonical-date	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String "2026-1-1": Failed to deserialize java.time.LocalDate: (java.time.format.DateTimeParseExcepti…
n14-entries-not-list	REJECT	MismatchedInputException: Cannot deserialize value of type `java.util.ArrayList<com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry>` from Object value (token `JsonToken.…
n15-entry-unknown-field	REJECT	UnrecognizedPropertyException: Unrecognized field "note" (class com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry), not marked as ignorable (4 known properties: "instantUtcM…
n16-bom-eventcode	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: string must not carry a BOM
n17-hash-uppercase	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is bounded and calendarContentHash is 64 lowercas…
n18-version-65-chars	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is 65 chars, over 64
n19-version-bad-grammar	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion must be an ASCII identifier ([A-Za-z0-9_.:-]+), g…
n20-eventcode-33-chars	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode must match [A-Za-z0-9_.:-]+ and be at mos…
n21-513-entries	REJECT	IllegalArgumentException: serialised calendar is 70025 bytes, over MAX_CALENDAR_BYTES 65536
n22-instant-over-max	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: instantUtcMs 253402300800000 for NFP is outside the…
n23-negative-lead	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: leadWindowMs -1 outside [0, 3600000] for CPI
n24-kelvin-sign-version	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion must be an ASCII identifier ([A-Za-z0-9_.:-]+), g…
n25-eventcode-empty	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode is required
n26-entry-missing-instant	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: instantUtcMs 0 for CPI is outside the supported dom…
n27-not-an-object	REJECT	MismatchedInputException: Cannot deserialize value of type `com.optionsedge.contracts.volpremium.CalendarArtifact` from Array value (token `JsonToken.START_ARRAY`)
n28-eventcode-nonascii-after-nfc	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode must match [A-Za-z0-9_.:-]+ and be at mos…
n29-hash-63-chars	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is bounded and calendarContentHash is 64 lowercas…
n30-trail-over-max	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: trailWindowMs 3600001 outside [0, 3600000] for CPI
n31-missing-version	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is required
n32-kelvin-hash-of-raw-bytes	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarContentHash 633f6aec852f67e509920218d9cd3e25dc29802996213…
n33-empty-file	REJECT	MismatchedInputException: No content to map due to end-of-input
n34-over-wire-cap	REJECT	IllegalArgumentException: serialised calendar is 65875 bytes, over MAX_CALENDAR_BYTES 65536
n35-invalid-utf8-in-eventcode	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact$CalendarEntry`, problem: eventCode must match [A-Za-z0-9_.:-]+ and be at mos…
n36-decomposed-e-version	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion must be an ASCII identifier ([A-Za-z0-9_.:-]+), g…
n37-513-entries-compact	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: entries delivered more than 512 elements; refused before an unbou…
p01-calendar-2026.1	OK	cf209ff9ff428428988322928b27cd625556a2bb5a28131410b4d4631ea9c347
p02-minified-2026.1	OK	cf209ff9ff428428988322928b27cd625556a2bb5a28131410b4d4631ea9c347
p03-empty-entries	OK	0b535b1a8d72b89415b58fb840537c4ece938e14b97ee734e68f1aa8da3dd4b3
p04-one-entry-zero-windows	OK	3434fa809ce0d56ea768680e35fc346816773897ddfb3502c88eb341a6aaa269
p05-max-windows	OK	96e32718baa65f6c0dc26b2395e504a3110639f1b86b94da79587534d500555c
p06-kelvin-sign-eventcode-nfc	OK	0cf355d7b19487b2fc17a1f895d739310962e96b9b9a0c61d49fc55f51324443
p07-ascii-escapes	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
p08-same-instant-two-codes-sorted	OK	3f382532ee8e0bd27591712ecdb0635596e1fb4299b0f235ed25b54ab513d2a9
p09-max-instant	OK	6e7cb461d32dc16c2d45d238ad3a12dc8f0a26519bc3b539e9da856f3cad9df5
p10-version-64-chars	OK	cd4e43f1648040c50898efcc9240e691a1e3f5d23602de43cb25b874532e5df3
p11-eventcode-32-chars	OK	9d2a92c97c5bd5d29d1d13d8e30c89bd85bd90d562be8138c2f0d1986ba09ffe
p12-from-equals-through	OK	930affed08bbe84e06779a63a6bdb0d450f86b6bef35c29ed3afd675cf6ab5cd
p13-512-entries-compact	OK	b27a8da51a330e1b2ae45f7eeb11d591f83ad17222a65e5f200403184100079e
s01-lead-empty-string	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
s02-lead-space-string	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
s03-lead-null-string	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
s04-lead-nbsp-padded	REJECT	InvalidFormatException: Cannot deserialize value of type `long` from String " 0 ": not a valid `long` value
s05-lead-emspace-padded	REJECT	InvalidFormatException: Cannot deserialize value of type `long` from String " 0 ": not a valid `long` value
s06-lead-tab-padded	OK	165db9e27578597bad686609447a50da169b09b7ce4418b09e2c7b0f052713b4
s07-lead-plus-sign	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
s08-schema-empty-string	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: schemaVersion must be 1, got 0
s09-lead-string-with-underscore	REJECT	InvalidFormatException: Cannot deserialize value of type `long` from String "0_0": not a valid `long` value
s10-version-empty-string	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is required
s11-version-blank-string	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is required
s12-hash-with-spaces	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: calendarVersion is bounded and calendarContentHash is 64 lowercas…
t01-date-padded-spaces	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t02-date-with-time	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t03-date-with-time-zulu	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t04-date-with-time-offset	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String "2026-01-01T00:00:00+02:00": Failed to deserialize java.time.LocalDate: (java.time.format.Dat…
t05-date-with-time-fraction	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t06-date-time-hhmm-only	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t07-date-empty-string	REJECT	ValueInstantiationException: Cannot construct instance of `com.optionsedge.contracts.volpremium.CalendarArtifact`, problem: validFromDate and validThroughDate are required
t08-date-epoch-day-number	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t09-date-with-time-different-day	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t10-date-zulu-previous-day	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String "2026-01-01T00:00:00-01:00": Failed to deserialize java.time.LocalDate: (java.time.format.Dat…
t11-date-plus-year	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String "+2026-01-01": Failed to deserialize java.time.LocalDate: (java.time.format.DateTimeParseExce…
t12-date-nbsp-padded	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String " 2026-01-01": Failed to deserialize java.time.LocalDate: (java.time.format.DateTimeParseExce…
t13-date-tab-padded	OK	122cb0e067b084fff3d8348eca8badc2242ee9d48d3ddfa6bfa31aaa13d4e297
t14-date-array-strings	REJECT	MismatchedInputException: Unexpected token (VALUE_STRING) within Array, expected VALUE_NUMBER_INT
t15-date-array-with-time	REJECT	MismatchedInputException: Unexpected token (VALUE_NUMBER_INT), expected END_ARRAY: Expected array to end
t16-date-lowercase-t	REJECT	InvalidFormatException: Cannot deserialize value of type `java.time.LocalDate` from String "2026-01-01t00:00:00": Failed to deserialize java.time.LocalDate: (java.time.format.DateTimeP…
